station_group_id,name,country,region,dataset,latitude,longitude,elevation_m,climate_count,_country_key,_name_key,_lat_key,_lon_key
usa|erie.muni.ap|40.0170|-105.0500,Erie.Muni.AP,USA,CO,SRC-TMYx,40.017,-105.05,1564.0,4,usa,erie.muni.ap,40.017,-105.05
usa|erwin-harnett.rgnl.ap|35.3790|-78.7340,Erwin-Harnett.Rgnl.AP,USA,NC,"Custom-746936, SRC-TMYx",35.379,-78.734,61.0,5,usa,erwin-harnett.rgnl.ap,35.379,-78.734
usa|escanaba-delta county ap|45.7220|-87.1000,Escanaba-Delta County AP,USA,MI,TMY3,45.722,-87.1,187.0,1,usa,escanaba-delta county ap,45.722,-87.1
usa|escanaba-delta.county.ap|45.7230|-87.0940,Escanaba-Delta.County.AP,USA,MI,Custom-726480,45.723,-87.094,186.0,1,usa,escanaba-delta.county.ap,45.723,-87.094
usa|escanaba-delta.county.ap|45.7330|-87.0830,Escanaba-Delta.County.AP,USA,MI,SRC-TMYx,45.733,-87.083,186.0,4,usa,escanaba-delta.county.ap,45.733,-87.083
usa|estherville muni ap|43.4000|-94.7500,Estherville Muni AP,USA,IA,TMY3,43.4,-94.75,401.0,1,usa,estherville muni ap,43.4,-94.75
usa|estherville.muni.ap|43.4075|-94.7461,Estherville.Muni.AP,USA,IA,Climate-Normals,43.4075,-94.7461,401.4,1,usa,estherville.muni.ap,43.4075,-94.7461
usa|estherville.muni.ap|43.4070|-94.7460,Estherville.Muni.AP,USA,IA,Custom-726499,43.407,-94.746,401.0,1,usa,estherville.muni.ap,43.407,-94.746
usa|estherville.muni.ap|43.4010|-94.7470,Estherville.Muni.AP,USA,IA,SRC-TMYx,43.401,-94.747,401.0,4,usa,estherville.muni.ap,43.401,-94.747
usa|eufaula-weedon.field.ap|31.9510|-85.1290,Eufaula-Weedon.Field.AP,USA,AL,"Custom-720363, SRC-TMYx",31.951,-85.129,86.9,5,usa,eufaula-weedon.field.ap,31.951,-85.129
usa|eugene ap-sweet field|44.1200|-123.2160,Eugene AP-Sweet Field,USA,OR,TMY3,44.12,-123.216,109.0,1,usa,eugene ap-sweet field,44.12,-123.216
usa|eugene.ap-sweet.field|44.1278|-123.2206,Eugene.AP-Sweet.Field,USA,OR,Climate-Normals,44.1278,-123.2206,107.6,3,usa,eugene.ap-sweet.field,44.1278,-123.2206
usa|eugene.ap-sweet.field|44.1167|-123.2167,Eugene.AP-Sweet.Field,USA,OR,Custom-726930,44.11666,-123.2167,107.6,1,usa,eugene.ap-sweet.field,44.1167,-123.2167
usa|eugene.ap-sweet.field|44.1280|-123.2210,Eugene.AP-Sweet.Field,USA,OR,SRC-TMYx,44.128,-123.221,107.6,4,usa,eugene.ap-sweet.field,44.128,-123.221
usa|eureka-california.redwood.coast-humboldt.county.ap|40.9781|-124.1086,Eureka-California.Redwood.Coast-Humboldt.County.AP,USA,CA,Climate-Normals,40.9781,-124.1086,61.0,3,usa,eureka-california.redwood.coast-humboldt.county.ap,40.9781,-124.1086
usa|eureka-samoa.ap-humboldt.bay|40.7790|-124.2144,Eureka-Samoa.AP-Humboldt.Bay,USA,CA,"Custom-725947, SRC-TMYx",40.779,-124.2144,5.0,5,usa,eureka-samoa.ap-humboldt.bay,40.779,-124.2144
usa|eureka-skelton.ap|61.9373|-147.1669,Eureka-Skelton.AP,USA,AK,"Custom-702715, SRC-TMYx",61.93734,-147.1669,1002.0,5,usa,eureka-skelton.ap,61.9373,-147.1669
usa|eureka-woodley.island|40.7830|-124.1670,Eureka-Woodley.Island,USA,CA,CTZ2010,40.783,-124.167,18.0,1,usa,eureka-woodley.island,40.783,-124.167
usa|eureka-woodley.island|40.8000|-124.1670,Eureka-Woodley.Island,USA,CA,Custom-725940,40.8,-124.167,18.0,1,usa,eureka-woodley.island,40.8,-124.167
usa|eureka-woodley.island|40.8000|-124.1500,Eureka-Woodley.Island,USA,CA,Custom-725940,40.8,-124.15,18.0,1,usa,eureka-woodley.island,40.8,-124.15
usa|eureka-woodley.island|40.8100|-124.1600,Eureka-Woodley.Island,USA,CA,EUREKA-WOODLEY-ISLAND,40.81,-124.16,6.1,1,usa,eureka-woodley.island,40.81,-124.16
usa|eureka-woodley.island|40.8097|-124.1600,Eureka-Woodley.Island,USA,CA,SRC-TMYx,40.8097,-124.16,18.0,4,usa,eureka-woodley.island,40.8097,-124.16
usa|eureka-woodley.island ca usa|40.8000|-124.1700,Eureka-Woodley.Island CA USA,USA,,CTZ2022,40.8,-124.17,18.0,1,usa,eureka-woodley.island ca usa,40.8,-124.17
usa|eureka.ap-bailey.field|39.6014|-116.0056,Eureka.AP-Bailey.Field,USA,NV,Climate-Normals,39.6014,-116.0056,1809.3,1,usa,eureka.ap-bailey.field,39.6014,-116.0056
usa|eureka.ap-bailey.field|39.6011|-116.0061,Eureka.AP-Bailey.Field,USA,NV,"Custom-724770, SRC-TMYx",39.60111,-116.0061,1811.0,5,usa,eureka.ap-bailey.field,39.6011,-116.0061
usa|evanston-uinta county ap-burns field|41.2830|-111.0330,Evanston-Uinta County AP-Burns Field,USA,WY,TMY3,41.283,-111.033,2183.0,1,usa,evanston-uinta county ap-burns field,41.283,-111.033
usa|evanston-uinta.county.ap-burns.field|41.2731|-111.0306,Evanston-Uinta.County.AP-Burns.Field,USA,WY,Climate-Normals,41.2731,-111.0306,2183.3,1,usa,evanston-uinta.county.ap-burns.field,41.2731,-111.0306
usa|evanston-uinta.county.ap-burns.field|41.2730|-111.0310,Evanston-Uinta.County.AP-Burns.Field,USA,WY,"Custom-725775, SRC-TMYx",41.273,-111.031,2175.0,5,usa,evanston-uinta.county.ap-burns.field,41.273,-111.031
usa|evansville rgnl ap|38.0500|-87.5330,Evansville Rgnl AP,USA,IN,TMY3,38.05,-87.533,116.0,1,usa,evansville rgnl ap,38.05,-87.533
usa|evansville.rgnl.ap|38.0442|-87.5206,Evansville.Rgnl.AP,USA,IN,Climate-Normals,38.0442,-87.5206,121.9,3,usa,evansville.rgnl.ap,38.0442,-87.5206
usa|evansville.rgnl.ap|38.0500|-87.5333,Evansville.Rgnl.AP,USA,IN,Custom-724320,38.05,-87.53333,121.9,1,usa,evansville.rgnl.ap,38.05,-87.5333
usa|evansville.rgnl.ap|38.0440|-87.5210,Evansville.Rgnl.AP,USA,IN,SRC-TMYx,38.044,-87.521,121.9,4,usa,evansville.rgnl.ap,38.044,-87.521
usa|eveleth-virginia muni ap|47.4250|-92.5000,Eveleth-Virginia Muni AP,USA,MN,TMY3,47.425,-92.5,421.0,1,usa,eveleth-virginia muni ap,47.425,-92.5
usa|eveleth-virginia.muni.ap-sharp.field|47.4240|-92.4980,Eveleth-Virginia.Muni.AP-Sharp.Field,USA,MN,"Custom-727474, SRC-TMYx",47.424,-92.498,420.0,5,usa,eveleth-virginia.muni.ap-sharp.field,47.424,-92.498
usa|everett-paine.field-snohomish.county.ap|47.9078|-122.2803,Everett-Paine.Field-Snohomish.County.AP,USA,WA,Climate-Normals,47.9078,-122.2803,184.7,1,usa,everett-paine.field-snohomish.county.ap,47.9078,-122.2803
usa|everett-paine.field-snohomish.county.ap|47.9080|-122.2800,Everett-Paine.Field-Snohomish.County.AP,USA,WA,"Custom-727937, SRC-TMYx",47.908,-122.28,185.0,5,usa,everett-paine.field-snohomish.county.ap,47.908,-122.28
usa|everett-snohomish county ap-paine field|47.9000|-122.2830,Everett-Snohomish County AP-Paine Field,USA,WA,TMY3,47.9,-122.283,189.0,1,usa,everett-snohomish county ap-paine field,47.9,-122.283
usa|everett.stewart.rgnl.ap|36.3800|-88.9850,Everett.Stewart.Rgnl.AP,USA,TN,SRC-TMYx,36.38,-88.985,103.9,4,usa,everett.stewart.rgnl.ap,36.38,-88.985
usa|evergreen.rgnl.ap-middleton.field|31.4156|-87.0442,Evergreen.Rgnl.AP-Middleton.Field,USA,AL,Climate-Normals,31.4156,-87.0442,78.6,1,usa,evergreen.rgnl.ap-middleton.field,31.4156,-87.0442
usa|evergreen.rgnl.ap-middleton.field|31.4160|-87.0440,Evergreen.Rgnl.AP-Middleton.Field,USA,AL,"Custom-722276, SRC-TMYx",31.416,-87.044,79.0,5,usa,evergreen.rgnl.ap-middleton.field,31.416,-87.044
usa|fairbanks intl ap|64.8170|-147.8500,Fairbanks Intl AP,USA,AK,TMY3,64.817,-147.85,133.0,1,usa,fairbanks intl ap,64.817,-147.85
usa|fairbanks-eielson afb|64.6500|-147.1000,Fairbanks-Eielson AFB,USA,AK,TMY3,64.65,-147.1,167.0,1,usa,fairbanks-eielson afb,64.65,-147.1
usa|fairbanks-eielson.afb|64.6833|-147.0833,Fairbanks-Eielson.AFB,USA,AK,Climate-Normals,64.6833,-147.0833,173.1,1,usa,fairbanks-eielson.afb,64.6833,-147.0833
usa|fairbanks-eielson.afb|64.6500|-147.0667,Fairbanks-Eielson.AFB,USA,AK,Custom-702650,64.65,-147.0667,167.0,1,usa,fairbanks-eielson.afb,64.65,-147.0667
usa|fairbanks-eielson.afb|64.6830|-147.0830,Fairbanks-Eielson.AFB,USA,AK,SRC-TMYx,64.683,-147.083,167.0,4,usa,fairbanks-eielson.afb,64.683,-147.083
usa|fairbanks.11.ne-noaa-nesdis-fcdas|64.9736|-147.5100,Fairbanks.11.NE-NOAA-NESDIS-FCDAS,USA,AK,Climate-Normals,64.9736,-147.51,347.5,1,usa,fairbanks.11.ne-noaa-nesdis-fcdas,64.9736,-147.51
